x_data,z_data,width,height,file_name
0.703125,0.2265625,0.15625,0.15625,02a15196-8eb5-4145-a7b0-21ac02214836.png
0.4375,0.78125,0.15625,0.15625,a290d141-ba4e-4291-9574-4d6fa2b4265b.png
0.53125,0.34375,0.15625,0.15625,8faab96a-53ad-420e-bd13-4365e35b5434.png
0.296875,0.09375,0.15625,0.15625,4b1baa49-94bd-441d-948f-38c5dbd32b70.png
0.2734375,0.578125,0.15625,0.15625,0c976c44-c8e2-4178-b7fe-39f5ee9cf3ff.png
0.3515625,0.3046875,0.15625,0.15625,a1da1a9d-64f7-4410-9a1f-9b16b57a7a60.png
0.5546875,0.84375,0.15625,0.15625,4ff96fbb-78fc-4064-8701-4555cc9814e8.png
0.65625,0.671875,0.15625,0.15625,650175cf-5895-4086-ad64-e7a9395fa915.png
0.703125,0.203125,0.15625,0.15625,e6931cf8-3f36-493e-a405-144bc20adf12.png
0.2890625,0.640625,0.15625,0.15625,4d4edd50-4775-44d5-bf61-df41c9f5c854.png
0.0,0.4375,0.15625,0.15625,ee700686-8e51-4133-8a60-a14e27c0f8d3.png
0.6484375,0.3984375,0.15625,0.15625,fff3e501-f3f9-4d0d-8bf4-6d4f54b13618.png
0.359375,0.609375,0.15625,0.15625,d1b4ad79-d84e-4277-b780-e129fefc0c36.png
0.84375,0.078125,0.15625,0.15625,b26bb2b1-bb15-4431-9c91-e463f827266f.png
0.2265625,0.3984375,0.15625,0.15625,f9978233-1ced-4ec3-9491-bb8738c6a1d4.png
0.234375,0.0703125,0.15625,0.15625,23af3a54-fd08-4129-b6e2-ac220c2b92bb.png
0.1796875,0.5390625,0.15625,0.15625,1e76081f-1548-4864-9449-3a30d2c5f1a4.png
0.09375,0.59375,0.15625,0.15625,672e9cd9-694c-4c82-b95c-d3a7518ab6e9.png
0.578125,0.3828125,0.15625,0.15625,9c275390-26e5-4c7f-b32a-3a4c7d6d3885.png
0.0,0.2578125,0.15625,0.15625,57f2f9d5-89fb-4e25-bd75-333ba9a04aeb.png
0.40625,0.7578125,0.15625,0.15625,9e2936c9-a6d1-4da8-a9e3-2f67c29ae867.png
0.765625,0.703125,0.15625,0.15625,e6a6f358-4336-43e6-9196-217ed1b8f6d9.png
0.234375,0.0,0.15625,0.15625,58d4cb3e-6bbf-4ea3-8253-d709fe014a89.png
0.6015625,0.6015625,0.15625,0.15625,5db1d069-e006-4cd5-b4a4-cdc205311f78.png
0.59375,0.7265625,0.15625,0.15625,615ac686-999e-4ee1-8524-8e1004a8c6c6.png
0.609375,0.03125,0.15625,0.15625,07e81bd7-12e1-405b-b088-e98da2889800.png
0.59375,0.5390625,0.15625,0.15625,0f32578b-f1e8-44ba-a7c3-a8c4ea84062f.png
0.609375,0.078125,0.15625,0.15625,a91d990c-e0d2-4d0b-8a17-e66c286bea15.png
0.171875,0.296875,0.15625,0.15625,53ab1db7-e411-4b1c-a426-e7f26dfd7ac9.png
0.2265625,0.1640625,0.15625,0.15625,758e3b70-6bf2-42c8-86e1-f98208e6bcd7.png
0.5078125,0.6875,0.15625,0.15625,4ad77563-4c57-42ec-9aed-384b204b7fca.png
0.7578125,0.75,0.15625,0.15625,e4a85469-1ac5-44af-b4d0-c224f3019980.png
0.8125,0.0625,0.15625,0.15625,0a1a6b90-1a51-4218-aac1-d4b8eec08ad8.png
0.1796875,0.484375,0.15625,0.15625,954bce3f-8a67-4427-a423-37a46df798f4.png
0.640625,0.484375,0.15625,0.15625,bc36b273-fae8-46ae-819e-08ee06fcfd8e.png
0.34375,0.5390625,0.15625,0.15625,e90d35eb-4556-406b-a1ff-26e9e550f773.png
0.3046875,0.6875,0.15625,0.15625,62f3404c-73f5-441e-a9e6-9c9f5454df26.png
0.1015625,0.6796875,0.15625,0.15625,05efd734-12cd-4eb5-a6d4-9414cb193283.png
0.015625,0.375,0.15625,0.15625,a15495fd-6cad-49fd-adeb-6414e220fecc.png
0.0859375,0.7265625,0.15625,0.15625,293ee5d5-8ec5-49b0-af5a-659354a4c82c.png
0.2890625,0.109375,0.15625,0.15625,fe2bd6f3-ea1a-42d8-8467-a6f5412cbc49.png
0.203125,0.6171875,0.15625,0.15625,cf4a7417-1bf3-4241-b765-e95ec8ea7abb.png
0.4140625,0.6171875,0.15625,0.15625,0bec61f9-f08e-48af-b870-f24e7f42e24a.png
0.4375,0.7578125,0.15625,0.15625,880c8ad7-6eba-4259-a51d-075da898a9d3.png
0.625,0.4609375,0.15625,0.15625,2d8e4af1-14cc-47fb-80fe-db2f459ed009.png
0.203125,0.2109375,0.15625,0.15625,61ca0b09-a45f-486a-bfd6-1d780184fc97.png
0.78125,0.4609375,0.15625,0.15625,87cbd195-ab71-4009-a54a-049e3c920d2e.png
0.0078125,0.53125,0.15625,0.15625,4851ec7b-228e-46e2-886a-0775b7186bf9.png
0.234375,0.6015625,0.15625,0.15625,8ceee1c0-31b2-4b1d-a3ea-4edbcd86b76c.png
0.484375,0.2890625,0.15625,0.15625,0929646f-b6c4-4533-a38e-aa6c510dd35d.png
0.296875,0.0859375,0.15625,0.15625,019d9c6a-fc2b-40fe-8222-bc17f661c1ee.png
0.5078125,0.203125,0.15625,0.15625,81c9bf13-dd82-44bc-88a5-9ab8acf476f1.png
0.1484375,0.03125,0.15625,0.15625,f8e40119-dcd2-4fc2-99f3-f95528c27f69.png
0.5234375,0.1484375,0.15625,0.15625,902d9e4d-a4ec-4f97-af17-8115223482dd.png
0.75,0.7265625,0.15625,0.15625,26400036-8c39-4de8-b826-203d791f1053.png
0.4296875,0.171875,0.15625,0.15625,2808a0dd-429d-484e-994c-ca5f5e0ffc41.png
0.3515625,0.0546875,0.15625,0.15625,d7a1e404-a6f4-4978-8f4e-28b6b587f681.png
0.8046875,0.5390625,0.15625,0.15625,1dd23969-16e7-4138-92b0-25c7b5aad15c.png
0.5,0.6171875,0.15625,0.15625,6fd6ed4a-78a2-4a77-8382-7ce2688beed8.png
0.7265625,0.1015625,0.15625,0.15625,37d4ba5b-6fe1-411b-a17a-c5ef4e245988.png
0.3359375,0.3359375,0.15625,0.15625,e8a7a761-64f9-497c-beac-7f37044d8ad3.png
0.0859375,0.25,0.15625,0.15625,0d8ce8d3-4544-448b-a875-03451f088756.png
0.125,0.203125,0.15625,0.15625,a7652eeb-3391-4048-8f81-67a15670b197.png
0.796875,0.171875,0.15625,0.15625,a1473851-681f-4e9c-b283-4a364cf2e472.png
0.6015625,0.7890625,0.15625,0.15625,4cf4d2dd-a85d-457e-bdce-033f0b0f1ccb.png
0.6953125,0.5703125,0.15625,0.15625,72a37f91-bd1d-4fa8-a83f-6c14ac56f64c.png
0.828125,0.2734375,0.15625,0.15625,5122b51c-9a3f-4375-9fcb-d5cb5ebdcfb7.png
0.6953125,0.5,0.15625,0.15625,776abdc9-b8c3-4503-939d-4f280ea2cae1.png
0.03125,0.1484375,0.15625,0.15625,7ab78d80-1acf-4602-be0e-83c0cb45c8ea.png
0.78125,0.0859375,0.15625,0.15625,f47bde7d-10ef-47b9-81d9-3eb54ce93018.png
0.8203125,0.640625,0.15625,0.15625,f3c644a6-14eb-485d-a6c4-8757f3e2f26b.png
0.1328125,0.5078125,0.15625,0.15625,f21e085d-c46f-43f2-935f-de9fb5ade2b6.png
0.7734375,0.625,0.15625,0.15625,fbbc631e-79e4-47e8-8029-43c42ae629bb.png
0.5234375,0.7421875,0.15625,0.15625,ea840f72-7df9-4b38-9b9c-c26525a1707b.png
0.0078125,0.4375,0.15625,0.15625,1614542c-a19b-4bd8-b23d-31718330706f.png
0.046875,0.3125,0.15625,0.15625,7070a9a2-e9de-47ea-85ed-69b5eca23daa.png
0.0,0.0546875,0.15625,0.15625,08242f1a-1587-4c6f-80b3-2d17f65ef22e.png
0.0625,0.59375,0.15625,0.15625,1b39e8a1-54de-4cf6-96d7-a872ac764232.png
0.7734375,0.6484375,0.15625,0.15625,744bacc6-c790-4e57-964b-86ba3de8ff34.png
0.15625,0.796875,0.15625,0.15625,b7e27230-2c0b-4e6c-938f-ab069efdf664.png
0.640625,0.59375,0.15625,0.15625,3fab9627-b9f8-4819-9b9d-a15d137dc4ad.png
0.2109375,0.765625,0.15625,0.15625,815fc8c3-1452-4b6f-a3a5-f9dc3535d8b9.png
0.7109375,0.640625,0.15625,0.15625,6e467b66-c31a-4bbc-9085-a2442a5e7f33.png
0.2421875,0.0078125,0.15625,0.15625,613723df-91c0-4cbf-8d70-3bc976b691b8.png
0.3984375,0.4453125,0.15625,0.15625,e496c0c0-7e0d-4916-83b2-5da4dd697c50.png
0.171875,0.8359375,0.15625,0.15625,13aa3ece-fa53-4a58-b23c-b38302bd9a4a.png
0.3125,0.3203125,0.15625,0.15625,b7948186-5fe5-4cec-a983-bd76dc5dfa48.png
0.515625,0.0234375,0.15625,0.15625,89001233-b164-4d86-aecc-37cef7114f01.png
